run,tag,step,value
PPO_1,time/fps,2048,1470.0
PPO_1,time/fps,4096,1417.0
PPO_1,time/fps,6144,1385.0
PPO_1,time/fps,8192,1371.0
PPO_1,time/fps,10240,1366.0
PPO_1,time/fps,12288,1360.0
PPO_1,time/fps,14336,1357.0
PPO_1,time/fps,16384,1349.0
PPO_1,time/fps,18432,1344.0
PPO_1,time/fps,20480,1343.0
PPO_1,time/fps,22528,1327.0
PPO_1,time/fps,24576,1324.0
PPO_1,time/fps,26624,1324.0
PPO_1,time/fps,28672,1313.0
PPO_1,time/fps,30720,1305.0
PPO_1,time/fps,32768,1298.0
PPO_1,time/fps,34816,1291.0
PPO_1,time/fps,36864,1285.0
PPO_1,time/fps,38912,1279.0
PPO_1,time/fps,40960,1276.0
PPO_1,time/fps,43008,1272.0
PPO_1,time/fps,45056,1275.0
PPO_1,time/fps,47104,1274.0
PPO_1,time/fps,49152,1274.0
PPO_1,time/fps,51200,1275.0
PPO_1,time/fps,53248,1277.0
PPO_1,time/fps,55296,1274.0
PPO_1,time/fps,57344,1276.0
PPO_1,time/fps,59392,1278.0
PPO_1,time/fps,61440,1280.0
PPO_1,time/fps,63488,1281.0
PPO_1,time/fps,65536,1278.0
PPO_1,time/fps,67584,1276.0
PPO_1,time/fps,69632,1277.0
PPO_1,time/fps,71680,1277.0
PPO_1,time/fps,73728,1278.0
PPO_1,time/fps,75776,1279.0
PPO_1,time/fps,77824,1277.0
PPO_1,time/fps,79872,1274.0
PPO_1,time/fps,81920,1275.0
PPO_1,time/fps,83968,1276.0
PPO_1,time/fps,86016,1277.0
PPO_1,time/fps,88064,1278.0
PPO_1,time/fps,90112,1279.0
PPO_1,time/fps,92160,1280.0
PPO_1,time/fps,94208,1281.0
PPO_1,time/fps,96256,1282.0
PPO_1,time/fps,98304,1279.0
PPO_1,time/fps,100352,1278.0
PPO_1,time/fps,102400,1276.0
PPO_1,time/fps,104448,1274.0
PPO_1,time/fps,106496,1272.0
PPO_1,time/fps,108544,1270.0
PPO_1,time/fps,110592,1271.0
PPO_1,time/fps,112640,1270.0
PPO_1,time/fps,114688,1269.0
PPO_1,time/fps,116736,1267.0
PPO_1,time/fps,118784,1266.0
PPO_1,time/fps,120832,1265.0
PPO_1,time/fps,122880,1264.0
PPO_1,time/fps,124928,1262.0
PPO_1,time/fps,126976,1261.0
PPO_1,time/fps,129024,1260.0
PPO_1,time/fps,131072,1259.0
PPO_1,time/fps,133120,1258.0
PPO_1,time/fps,135168,1257.0
PPO_1,time/fps,137216,1256.0
PPO_1,time/fps,139264,1257.0
PPO_1,time/fps,141312,1256.0
PPO_1,time/fps,143360,1255.0
PPO_1,time/fps,145408,1255.0
PPO_1,time/fps,147456,1254.0
PPO_1,time/fps,149504,1255.0
PPO_1,time/fps,151552,1256.0
PPO_1,time/fps,153600,1257.0
PPO_1,time/fps,155648,1258.0
PPO_1,time/fps,157696,1258.0
PPO_1,time/fps,159744,1259.0
PPO_1,time/fps,161792,1260.0
PPO_1,time/fps,163840,1261.0
PPO_1,time/fps,165888,1262.0
PPO_1,time/fps,167936,1262.0
PPO_1,time/fps,169984,1263.0
PPO_1,time/fps,172032,1264.0
PPO_1,time/fps,174080,1265.0
PPO_1,time/fps,176128,1264.0
PPO_1,time/fps,178176,1263.0
PPO_1,time/fps,180224,1262.0
PPO_1,time/fps,182272,1262.0
PPO_1,time/fps,184320,1261.0
PPO_1,time/fps,186368,1260.0
PPO_1,time/fps,188416,1261.0
PPO_1,time/fps,190464,1260.0
PPO_1,time/fps,192512,1260.0
PPO_1,time/fps,194560,1259.0
PPO_1,time/fps,196608,1259.0
PPO_1,time/fps,198656,1258.0
PPO_1,time/fps,200704,1257.0
PPO_1,time/fps,202752,1257.0
PPO_1,time/fps,204800,1257.0
PPO_1,time/fps,206848,1257.0
PPO_1,time/fps,208896,1256.0
PPO_1,time/fps,210944,1256.0
PPO_1,time/fps,212992,1255.0
PPO_1,time/fps,215040,1255.0
PPO_1,time/fps,217088,1254.0
PPO_1,time/fps,219136,1254.0
PPO_1,time/fps,221184,1253.0
PPO_1,time/fps,223232,1253.0
PPO_1,time/fps,225280,1253.0
PPO_1,time/fps,227328,1252.0
PPO_1,time/fps,229376,1252.0
PPO_1,time/fps,231424,1253.0
PPO_1,time/fps,233472,1253.0
PPO_1,time/fps,235520,1254.0
PPO_1,time/fps,237568,1253.0
PPO_1,time/fps,239616,1253.0
PPO_1,time/fps,241664,1253.0
PPO_1,time/fps,243712,1254.0
PPO_1,time/fps,245760,1254.0
PPO_1,time/fps,247808,1255.0
PPO_1,time/fps,249856,1256.0
PPO_1,time/fps,251904,1256.0
PPO_1,time/fps,253952,1257.0
PPO_1,time/fps,256000,1258.0
PPO_1,time/fps,258048,1258.0
PPO_1,time/fps,260096,1259.0
PPO_1,time/fps,262144,1259.0
PPO_1,time/fps,264192,1259.0
PPO_1,time/fps,266240,1260.0
PPO_1,time/fps,268288,1260.0
PPO_1,time/fps,270336,1259.0
PPO_1,time/fps,272384,1259.0
PPO_1,time/fps,274432,1258.0
PPO_1,time/fps,276480,1259.0
PPO_1,time/fps,278528,1258.0
PPO_1,time/fps,280576,1258.0
PPO_1,time/fps,282624,1258.0
PPO_1,time/fps,284672,1259.0
PPO_1,time/fps,286720,1259.0
PPO_1,time/fps,288768,1258.0
PPO_1,time/fps,290816,1259.0
PPO_1,time/fps,292864,1259.0
PPO_1,time/fps,294912,1259.0
PPO_1,time/fps,296960,1259.0
PPO_1,time/fps,299008,1258.0
PPO_1,time/fps,301056,1259.0
PPO_1,train/approx_kl,4096,0.013428870588541031
PPO_1,train/approx_kl,6144,0.01294727623462677
PPO_1,train/approx_kl,8192,0.013005342334508896
PPO_1,train/approx_kl,10240,0.012850104831159115
PPO_1,train/approx_kl,12288,0.013131439685821533
PPO_1,train/approx_kl,14336,0.014144770801067352
PPO_1,train/approx_kl,16384,0.015056045725941658
PPO_1,train/approx_kl,18432,0.0149078955873847
PPO_1,train/approx_kl,20480,0.01571981981396675
PPO_1,train/approx_kl,22528,0.014685038477182388
PPO_1,train/approx_kl,24576,0.015113165602087975
PPO_1,train/approx_kl,26624,0.015948019921779633
PPO_1,train/approx_kl,28672,0.015578732825815678
PPO_1,train/approx_kl,30720,0.015040300786495209
PPO_1,train/approx_kl,32768,0.015168219804763794
PPO_1,train/approx_kl,34816,0.013897964730858803
PPO_1,train/approx_kl,36864,0.014600683003664017
PPO_1,train/approx_kl,38912,0.016044240444898605
PPO_1,train/approx_kl,40960,0.014108614064753056
PPO_1,train/approx_kl,43008,0.01555055845528841
PPO_1,train/approx_kl,45056,0.017753958702087402
PPO_1,train/approx_kl,47104,0.013323810882866383
PPO_1,train/approx_kl,49152,0.013483434915542603
PPO_1,train/approx_kl,51200,0.0159640833735466
PPO_1,train/approx_kl,53248,0.016645770519971848
PPO_1,train/approx_kl,55296,0.013799463398754597
PPO_1,train/approx_kl,57344,0.016052648425102234
PPO_1,train/approx_kl,59392,0.01323143020272255
PPO_1,train/approx_kl,61440,0.01601092517375946
PPO_1,train/approx_kl,63488,0.01651301607489586
PPO_1,train/approx_kl,65536,0.016146406531333923
PPO_1,train/approx_kl,67584,0.016098810359835625
PPO_1,train/approx_kl,69632,0.014772364869713783
PPO_1,train/approx_kl,71680,0.015301457606256008
PPO_1,train/approx_kl,73728,0.015466097742319107
PPO_1,train/approx_kl,75776,0.015869732946157455
PPO_1,train/approx_kl,77824,0.016072671860456467
